text,label
macjuanma sera de fuera porque desde luego de dentro na de na espa a sociologicamente sigue siendo franquista y dudo mucho que se mueva poca esperanza,0
xoannnn  davidronico  eskinguin porque hay que ser muy retrasado para triturar un m vil  o es imbecil o es un fake como una casa,0
inesarrimadas estamos todos contigo in  s   sabemos que t   puedes   ves a llamar al telefonillo de la moncloa hasta que te contesten   est  s muy loca in  s   lo de sacarle jugo a la tarifa plana in  s   no te saltes m  s la medicaci  n in  s   t   y ay,1
oramas cree que el riesgo independentista desactiva un adelanto electoral,0
cierto   mucha gente se emputa con trump x joder a los inmigrantes   pero hace poco detuvieron a un indocumentado por ser pedido en su pa s por un crimen y el hombre iba camino al hospital a tener su   to hijo   para que el gobierno se lo mantenga   mandan huevo,1
un   para medicina dice la aida  es que es subnormal  vipdirecto,1
torre  n hacen foro de adopci  n para parejas gay url,0
alfonsoramosgl   jodacal    grisasexual yo pierdo la cuenta  adem  s todos dicen que los dem  s no son aut  ntico feminismo  deber  amos montar una c  pula del trueno y que lo  decidan  all,0
algunos  tienen  flema brit nica  en escupitajo cerebral  si ya sab a yo que todo pol tico imperialista es crim    hijo de puta hist rico,1
golden wind   nella          ravengansta  angelthecrew  estefan          dalasreview  eldiariodedross yo solo me estoy basando en la estupida l  gica de ustedes,0
conozca a la socialista vasca embelesada con otegi en la  foto de la verg enza     t co at  kveudy,0
maocavazos  quiquegaldeano  udem tengo un mega pendiente de organizar una fecha en el parian con el se  or don modelo trans y lobo m  s guapo del norte y del sur y del centro del pa  s  fxarjona,0
estiosbuenos  hoiasoygermam eres un corriente homosexual de closet siquiera recon  celo a nadie le importa,1
caitlyn jenner quiere ser    embajadora    de  tedcruz en temas transexuales   url,0
que se pueda destransicionar no implica la gente trans seamos inv  lida   como decir que nadie deber  a de poder inmigrar a m  xico por ese un g  ey que vino  se nacionaliz    algo no le gust   y volvi   a su pa  s natal    y que ahora hace videos testimoniales de lo feo que es m  xico,0
y t  eres la puta  ah perd n pens  que habl bamos de las verdades perd n,1
me levant  de malhumor cc  hoy no esto pa esto  c llate la puta  boca,0
cayetanaat la dieta q llevas te hace q patinen tus neuronas  c    s a t e con un rey de una puta vez,1
todas las personas necesitamos alimentarnos     para sobrevivir  sin importar nuestra nacionalidad   en ecuador  las personas refugiadas y migrantes adoptaron diferentes estrategias ante la dificultad para obtener alimentos       conoce m  s     t co   d sblvt    plataformar v    t co gpig cpgqu,0
los exjugadores de la arandina  condenados a    a  os de c  rcel por violar a una menor http   t co,0
